feature,number_of_processed_columns,mean_absolute_grouped_shap
FLAG_DOCUMENT_6,1,0.002962315222248435
BUREAU_PROLONG_COUNT_SUM,1,0.002899579703807831
PREV_CANCELED_COUNT,1,0.002705847378820181
BUREAU_OVERDUE_AMOUNT_SUM,1,0.0026127928867936134
BB_SEVERE_RATE_MEAN,1,0.0022366344928741455
AMT_REQ_CREDIT_BUREAU_MON,1,0.0021252864971756935
PREV_REFUSED_COUNT,1,0.0020318154711276293
REGION_RATING_CLIENT,1,0.0017778768669813871
BB_DELINQUENT_COUNT_SUM,1,0.0017537865787744522
FLAG_DOCUMENT_11,1,0.0015797670930624008
AMT_REQ_CREDIT_BUREAU_DAY,1,0.0015220643253996968
ADDRESS_MISMATCH_COUNT,1,0.0014058242086321115
REG_REGION_NOT_LIVE_REGION,1,0.0012450299691408873
REG_REGION_NOT_WORK_REGION,1,0.0011684526689350605
DAYS_EMPLOYED_ANOM,1,0.0011096983216702938
BUREAU_OVERDUE_AMOUNT_MAX,1,0.0008654913981445134
LIVE_CITY_NOT_WORK_CITY,1,0.0008416480268351734
FLAG_OWN_REALTY,2,0.0007939123897813261
BB_SEVERE_COUNT_SUM,1,0.0007756343111395836
FLAG_DOCUMENT_18,1,0.0006558920722454786
BUREAU_OVERDUE_RATE,1,0.0005018598167225718
FLAG_EMAIL,1,0.0005003060214221478
AMT_REQ_CREDIT_BUREAU_WEEK,1,0.00040818890556693077
REG_CITY_NOT_WORK_CITY,1,0.00032058361102826893
FLAG_DOCUMENT_13,1,0.00024732432211749256
FLAG_CONT_MOBILE,1,0.00023198667622637004
FLAG_DOCUMENT_16,1,0.00013907140237279236
LIVE_REGION_NOT_WORK_REGION,1,0.00013840907195117325
FLAG_DOCUMENT_9,1,0.0
BUREAU_HAS_HISTORY,1,0.0
FLAG_DOCUMENT_10,1,0.0
BUREAU_BAD_DEBT_COUNT,1,0.0
FLAG_DOCUMENT_7,1,0.0
FLAG_DOCUMENT_5,1,0.0
FLAG_DOCUMENT_12,1,0.0
FLAG_DOCUMENT_2,1,0.0
FLAG_DOCUMENT_4,1,0.0
FLAG_DOCUMENT_15,1,0.0
INST_HAS_HISTORY,1,0.0
FLAG_MOBIL,1,0.0
FLAG_DOCUMENT_14,1,0.0
PREV_HAS_HISTORY,1,0.0
FLAG_DOCUMENT_17,1,0.0
FLAG_EMP_PHONE,1,0.0
FLAG_DOCUMENT_19,1,0.0
FLAG_DOCUMENT_20,1,0.0
FLAG_DOCUMENT_21,1,0.0
BUREAU_OVERDUE_COUNT,1,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,1,0.0
