feature,importance,mean_absolute_shap,gain_rank,shap_rank
BUREAU_ANNUITY_MEAN,0.0026515485,0.010356733,156.0,83.0
INCOME_PER_FAMILY_MEMBER,0.002927433,0.0098223835,127.0,84.0
INST_UNDERPAID_RATE,0.0031172677,0.009796905,110.0,85.0
INST_PAYMENT_RATIO_MEAN,0.0033863327,0.00907448,87.0,86.0
INST_PAYMENT_RATIO_SUM,0.0033640156,0.008982337,89.0,87.0
BUREAU_ACTIVE_RATE,0.003140797,0.008667938,106.0,88.0
OBS_60_CNT_SOCIAL_CIRCLE,0.0030627996,0.008452578,115.0,89.0
PREV_APPROVED_RATE,0.0064696283,0.008332817,27.0,90.0
ORGANIZATION_TYPE_Construction,0.004311482,0.008224782,55.0,91.0
BUREAU_CLOSED_COUNT,0.002583384,0.008183132,160.0,92.0
BB_DELINQUENT_RATE_MEAN,0.0031912155,0.0081058815,100.0,93.0
FLAG_PHONE,0.0023401037,0.0079938965,174.0,94.0
NAME_INCOME_TYPE_State servant,0.0061057997,0.00797322,32.0,95.0
ORGANIZATION_TYPE_School,0.0034176018,0.007721527,85.0,96.0
INST_RECORD_COUNT,0.003109835,0.0075925128,111.0,97.0
INST_UNDERPAID_COUNT,0.002774093,0.0074588726,142.0,98.0
PREV_GOODS_PRICE_MEAN,0.0032903391,0.0073878504,94.0,99.0
OCCUPATION_TYPE_Accountants,0.0033433083,0.0072307917,92.0,100.0
FLAG_DOCUMENT_8,0.002728515,0.0072234776,146.0,101.0
INST_PAYMENT_OBS_COUNT,0.003189134,0.0066214977,101.0,102.0
OCCUPATION_TYPE_Drivers,0.0033730913,0.0065924437,88.0,103.0
INST_SHORTFALL_SUM,0.0030022492,0.0065462063,119.0,104.0
BUREAU_CREDIT_TYPES_NUNIQUE,0.0028010197,0.0065423106,140.0,105.0
NAME_FAMILY_STATUS_Single / not married,0.003485558,0.0065132226,81.0,106.0
PREV_INSURED_RATE,0.0026685938,0.006403701,153.0,107.0
CONTACT_FLAG_COUNT,0.0036254334,0.0061755306,73.0,108.0
INST_SHORTFALL_MEAN,0.002960762,0.005972107,123.0,109.0
INST_LATE_COUNT,0.0033543496,0.0057792733,90.0,110.0
BUREAU_RECORD_COUNT,0.0035478352,0.0057533835,78.0,111.0
BB_CLOSED_RATE_MEAN,0.003080225,0.0056542624,114.0,112.0
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.002669412,0.004932229,152.0,113.0
OCCUPATION_TYPE_Missing,0.0025010132,0.0048619243,165.0,114.0
NAME_CONTRACT_TYPE_Cash loans,0.0047100536,0.0048384718,50.0,115.0
INST_PREVIOUS_LOAN_NUNIQUE,0.0049192454,0.004666758,46.0,116.0
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.002728045,0.0043838974,147.0,117.0
ORGANIZATION_TYPE_Military,0.0037014687,0.004104547,70.0,118.0
OBS_30_CNT_SOCIAL_CIRCLE,0.0029190339,0.0040955283,129.0,119.0
OCCUPATION_TYPE_High skill tech staff,0.0026440185,0.0038825346,157.0,120.0
PREV_APPLICATION_COUNT,0.0024272725,0.0035991054,168.0,121.0
ORGANIZATION_TYPE_Industry: type 9,0.0027382798,0.0035259286,145.0,122.0
ORGANIZATION_TYPE_Transport: type 3,0.003918544,0.0033605178,63.0,123.0
CNT_FAM_MEMBERS,0.002920176,0.003252312,128.0,124.0
BB_DELINQUENT_RATE_MAX,0.0028111907,0.0030265055,137.0,125.0
INST_PAYMENT_RATIO_COUNT,0.0025369814,0.0030259222,163.0,126.0
FLAG_DOCUMENT_6,0.0031930655,0.0029623213,99.0,127.0
OCCUPATION_TYPE_Laborers,0.0030140255,0.0029265096,118.0,128.0
BUREAU_PROLONG_COUNT_SUM,0.0028389038,0.00289958,136.0,129.0
ORGANIZATION_TYPE_Other,0.0020789325,0.0027859716,188.0,130.0
PREV_CANCELED_COUNT,0.0022742217,0.0027058446,176.0,131.0
BUREAU_OVERDUE_AMOUNT_SUM,0.005575864,0.0026127931,38.0,132.0
